Português,Espanhol,Warao,,Contexto/categoria
Eu,Yo,Ine,,Pronome pessoal
Tu,Tú,Iji,,Pronome pessoal
Ele,Él,Tai,,Pronome pessoal
Vocês,Ustedes,Yatu,,Pronome pessoal
Ela,Ella,Warao Tida.,,Pronome pessoal
A gente / Nós,Nosotros,Oko.,,Pronome pessoal
Vós,Vosotros,Orikuare.,,Pronome pessoal
Eles,Ellos,Waraotuma nibora.,,Pronome pessoal
Elas,Ellas,Waraotuma Tida.,,Pronome pessoal
Senhor,Señor,Daumata Nibora.,,Pronome de tratamento
Senhora,Señora,Daumata Tida.,,Pronome de tratamento
Moça,Muchacha,Eboma.,,Pronome de tratamento
Moço,Muchacho,Neburatu,,Pronome de tratamento
Criança,Niño,Noboto.,,Substantivo
Amigo (Amiga),Amigo (Amiga),Maraisa,,Substantivo
Vizinho (Vizinha),Vecino (Vecina),Mabere Ubatu.,,Substantivo
Alguém,Alguien,Kasabukaja.,,Substantivo
Ninguém,Nadie,Ekida.,,Substantivo
Tudo,Todo,Kokotuka.,,Pronome indefinido
Nada,Nada,Ekida,,Pronome indefinido
Sim,SÍ,Nome.,,Expressão comum
Não,No,Ekida.,,Expressão comum
Oi / Olá(s),Hola,Yakera (Yakerara),,Saudação
Obrigado (Obrigada),Gracias,Yakera,,Saudação
Licença,Permiso,Oi,,Saudação
Desculpa,Disculpa,Tomaneteya,,Saudação
Aceito,Acepto,Yakera,,Expressão comum
Grande,Grande,Irida,,Adjetivo
Pequeno,Pequeño,Sanukida,,Adjetivo
Maior,Mayor,Iridajawitu,,Adjetivo
Menor,Menor,Sanukidawitu,,Adjetivo
Melhor,Mejor,Yakeraja,,Adjetivo
Pior,Peor,Asidaja,,Adjetivo
Longe,Lejos,Weba.,,Adjetivo
Perto,Cerca,Kawere.,,Adjetivo
Muito,Mucho,Eraja,,Adjetivo
Pouco,Poco,Sanuka.,,Adjetivo
Bom,Bueno,Yakera,,Adjetivo
Ruim,Malo,Asida.,,Adjetivo
Alto,Alto,Kuai.,,Adjetivo
Baixo,Bajo,Juaika.,,Adjetivo
Gordo,Gordo,Tejoida Nibora,,Adjetivo
Gorda,Gorda,Tejoida Tida,,Adjetivo
Magra,Delgada,Tejo Sanuka Tida,,Adjetivo
Magro,Delgado,Tejo Sanuka Nibora,,Adjetivo
Forte,Fuerte,Taera,,Adjetivo
Fraco,Débil,Jomonoya,,Adjetivo
Seco (Seca),Seco (Seca),Nawajanae,,Adjetivo
