Português,Espanhol,Warao,,Contexto/categoria
Todo mundo,Todo el mundo,Ina kokotuka.,,Expressão comum
As pessoas,Las personas,Waraotuma.,,Expressão comum
O pessoal,El personal,Tai Waraotuma,,Expressão comum
Estou bem,Estoy bien,Ine Yakera.,,Expressão comum
Meu nome é,Mi nombre es,Ine Mawai,,Expressão comum
Eu sou da Venezuela,Yo soy de Venezuela,Ine Venezuela Yatamo.,,Apresentação
Eu sou venezuelano,Yo soy venezolano,Ine Venezolano yatamo,,Apresentação
Eu falo,Yo hablo,Ine Dibuya.,,Expressão comum
Eu tenho…anos,Yo tengo…años,Ine Majoida ja.,,Apresentação
Muito prazer,Mucho gusto,Ji naminakitane.,,Saudação
Bom dia,Buenos días,Yakera jokonae,,Saudação
Boa tarde,Buenas tardes,Yakera anayara.,,Saudação
Boa noite,Buenas noches,Yakera anaira,,Saudação
Bem-vindo,Bienvenido,Yakera nabakamo/Yakera nabakakotu,,Saudação
Por favor,Por favor,Mamuau,,Saudação
Vamos embora,Vamos,Nakuri,,Expressão comum
Não entendi,No entendí,Naminanaja,,Expressão comum
Por favor fale mais devagar,Por favor hable más despacio,Oriabane Dibuno,,Expressão comum
"Estou com saudades da minha 
familia",Echo de menos a mi familia,Ine mawarao obonoya,,Família
Se Deus quiser,Si Dios quiere,Nome dioso aisiko,,Expressão comum
Aos poucos,Paso a paso,Oriabane Oriabane,,Expressão comum
Não jogar lixo,No tirar basura aquí,Tamatika Koboto Webotanaka,,Expressão comum
Aguarde um pouco,Un momento por favor,Mate sanuka wakau ,,Expressão comum
Vou embora,Me voy,Ine Naruya,,Expressão comum
Ainda não,Aún No,Mate ekida,,Conjunção
Mais de uma vez,Más de una vez,Erajawitu tanae,,Expressão comum
Eu quero ligar para Venezuela,Quiero llamar a Venezuela,"Ine Yejebukitane Obonoya 
Venezuela yata",,Expressão comum
Daqui a pouco,En un Momento / Dentro de poco,Enare Sanuka ,,Tempo
Passar roupa,Planchar la Ropa,Jima jiyaka tiabatu,,Roupa
Quem?,Quién?,Sinaba,,Para fazer perguntas
Onde? / Cadê?,Dónde?,Kasaba,,Para fazer perguntas
O que?,Qué?,Sina,,Para fazer perguntas
Por que? / Por causa de quê?,Por qué?,Katukane,,Para fazer perguntas
Quando? / A que hora?,Cuándo?,Katukakore,,Para fazer perguntas
A que horas?,A qué horas?,Asinaria,,Para fazer perguntas
Como é que se fala?,Cómo se dice?,Katukane dibuya,,Para fazer perguntas
Isso quer dizer o que?,Eso quiere decir…,Tai dibukitane obonoya,,Para fazer perguntas
Como vai?,Cómo está? / Qué tal?,Iji katukane ja,,Perguntas comuns
Tudo bem?,Todo bien?,Yakera,,Perguntas comuns
Como é seu nome?,Cómo se llama? / Cuál es su nombre?,Ji wai sina,,Perguntas comuns
E você?,Y usted?,Ama iji,,Perguntas comuns
Qual o nome disso?,Cómo se llama esto?,Tamaja awai katukane,,Perguntas comuns
Qual a sua nacionalidade?,Cuál es su nacionalidad?,Iiji Kasabamo,,Perguntas comuns
Você é de onde?,De dónde es?,Kasabamo,,Perguntas comuns
Qual o nome da tua cidade?,Cómo se llama tu ciudad?,Ji jubai kasaba,,Perguntas comuns
Você fala quais línguas?,Qué idioma habla?,Ji jono sina dibuya,,Perguntas comuns
Qual a tua idade?,Cuántos años tiene?,Ji joida katamuna,,Perguntas comuns
Qual o preço da passagem?,Cuánto cuesta el pasaje?,Katamuna amuara narakitane,,Perguntas comuns
O que você sabe fazer?,Qué sabe hacer?,Iji sina naminaya,,Perguntas comuns
Quanto custa por minuto?,Cuánto cuesta por minuto?,Katamuna sinaria naruya,,Perguntas comuns
Onde posso pegar o  ônibus?,Dónde puedo tomar un ómnibus?,Kasabamo ine wakuna jima barabara,,Perguntas comuns
Aceita?,Acepta?,Nome,,Perguntas comuns
Dentro de casa,Dentro de casa,Janoko eku,,Lugar
"Por favor, onde eu posso encontrar uma casa para alugar?",Por favor cómo puedo encon-trar una casa para alquilar o arrendar?,"Katukane ine janoko mikuna 
masaba amuara abane ",,Para alugar uma casa
"Estou procurando uma casa 
para alugar?","Estoy buscando una casa para 
alquilar o arrendar?","Ine janoko nojobuya amuara 
abane ubakitane ",,Para alugar uma casa
Quanto é o aluguel?,Cuánto cuesta el alquiler o arriendo?,Ubanoko amuara katamuna,,Para alugar uma casa
Podemos nos encontrar na rua… ?,Puede ubicarme en la calle… ?,Diaka mayabanu asinaria isiko,,Para alugar uma casa
Quanto custa?,Cuánto cuesta?,Amuara Katamuna,,Para alugar uma casa
Qual o preço?,Cuál es el precio?,Katamuna tai amuara,,Para alugar uma casa
Está muito caro,Esta muy caro,Amoara taera,,Para alugar uma casa
Pode fazer mais barato? / Tem desconto?,Puede hacerme un descuento?,Masaba amuara jirinu,,Para alugar uma casa
Me dá dois por favor!,Me pone dos por favor!,Masaba abanu (manamo),,Para alugar uma casa
Estou procurando,Estoy buscando,Ine nojobuya,,Para alugar uma casa
Você me deve R$ 50 reais,Usted me debe R$ 50 reales,Iji mauara abakitane ja warao manamo arai mojoreku,,Trabalho
Quando vai me pagar?,Cuánto me va a pagar?,Katamuna mamuara abate,,Trabalho
Tem trabalho para mim?,Hay trabajo para mí?,Yaota masaba ja,,Trabalho
Não tem problema,No hay problema,Monikata ekida,,Trabalho
Eu posso,Puedo,Yaruturu,,Trabalho
Eu sou...,Soy...,Ine,,Trabalho
Eu sou formado (formada),Estou graduado (graduada),Ine karata jetonae,,Trabalho
Eu sei...,Sé,Naminaya,,Trabalho
Eu falo (Escrevo),Hablo (Escribo),Dibuya jabataya,,Trabalho
Eu estudo...,Estudio...,Ine teribuya,,Trabalho
Muito bem,Muy bien,Yakerawitu,,Trabalho
Posso aprender,Puedo aprender,Naminakitane obonoya,,Trabalho
Eu me viro,Puedo hacerlo,Yaruturu nonakitane,,Trabalho
Estou passando mal,Me siento mal,Matejo asida,,Saúde
Estou doente,Estoy enfermo(a),Ine nobaraya,,Saúde
Preciso ir ao hospital,Necesito ir al hospital,Ine narukitane obonoya ibiji,,Saúde
Marcar uma consulta,Agendar una consulta,Karata ibiji saba,,Saúde
Receber alta,Dar alta,Ibiji ajanoko ekumo ekojoboya,,Saúde
Não tenho,No tengo,Ekida,,Saúde
Eu tenho alergia,Sufro de alergia,Ine matejo boroboro isia nobaraya,,Saúde
Dar à luz,Dar a luz,Noboto Nakakitane,,Saúde
Me dói,Me duele(n),Ajera,,Saúde
Eu sou diabético,Soy diabético,Jotu isia nobaraya,,Saúde
Eu tenho a pressão alta,Sufro de presión alta,Kobe isiya nobaraya,,Saúde
Estou gripado,Estoy con gripe,Obo maisiya ja,,"Na consulta, no hospital, ou na conversa com profissionais de saúde"
Eu tenho dor,Tengo dolor,Tejo Ajera,,"Na consulta, no hospital, ou na conversa com profissionais de saúde"
